"The Waterhouse at South Bund, Shanghai, a Member of Design Hotels™",
Sheraton Shanghai Hongkou Hotel,
"Twelve at Hengshan, a Luxury Collection Hotel, Shanghai",
JW Marriott Marquis Hotel Shanghai Pudong,
"Four Points by Sheraton Shanghai, Pudong",
"The Hongta Hotel, a Luxury Collection Hotel, Shanghai",
Sheraton Grand Shanghai Pudong Hotel & Residences,
Fairfield by Marriott Shanghai Jingan,
Courtyard Shanghai-Pudong,
"Four Points by Sheraton Shanghai, Daning",
Shanghai Marriott Hotel Parkview,
Renaissance Shanghai Putuo Hotel,
Renaissance Shanghai Zhongshan Park Hotel,
Shanghai Marriott Hotel Riverside,
Renaissance Shanghai Pudong Hotel,
Renaissance Shanghai Yangtze Hotel,
JW Marriott Hotel Shanghai Changfeng Park,
Courtyard Shanghai Changfeng Park,
Renaissance Shanghai Caohejing Hotel,
Shanghai Marriott Hotel Hongqiao,
Shanghai Marriott Hotel Pudong East,
Aloft Shanghai Zhangjiang Haike,
"Le Méridien Shanghai, Minhang",
Sheraton Shanghai Waigaoqiao Hotel,
Delta Hotels Shanghai Baoshan,
Shanghai Marriott Hotel Kangqiao,
Courtyard Shanghai International Tourism and Resorts Zone,
name,price
Courtyard Shanghai Xujiahui,735
Le Royal Méridien Shanghai,"1,282"
Shanghai Marriott Hotel City Centre,"1,066"
JW Marriott Hotel Shanghai at Tomorrow Square,"1,283"
The Shanghai EDITION,"2,046"
Renaissance Shanghai Yu Garden Hotel,910
"The Westin Bund Center, Shanghai","1,362"
Bulgari Hotel Shanghai,"3,800"
The St. Regis Shanghai Jingan,"1,958"
"The Portman Ritz-Carlton, Shanghai","1,352"
Courtyard Shanghai Central,743
"The Ritz-Carlton Shanghai, Pudong","2,700"
W Shanghai - The Bund,"1,940"
"The Waterhouse at South Bund, Shanghai, a Member of Design Hotels™","1,040"
Sheraton Shanghai Hongkou Hotel,940
"Twelve at Hengshan, a Luxury Collection Hotel, Shanghai","1,470"
JW Marriott Marquis Hotel Shanghai Pudong,"1,744"
"Four Points by Sheraton Shanghai, Pudong",539
"The Hongta Hotel, a Luxury Collection Hotel, Shanghai",882
Sheraton Grand Shanghai Pudong Hotel & Residences,735
Fairfield by Marriott Shanghai Jingan,483
Courtyard Shanghai-Pudong,772
"Four Points by Sheraton Shanghai, Daning",705
Shanghai Marriott Hotel Parkview,794
Renaissance Shanghai Putuo Hotel,833
Renaissance Shanghai Zhongshan Park Hotel,941
Shanghai Marriott Hotel Riverside,882
Renaissance Shanghai Pudong Hotel,892
Renaissance Shanghai Yangtze Hotel,813
JW Marriott Hotel Shanghai Changfeng Park,"1,107"
Courtyard Shanghai Changfeng Park,637
Renaissance Shanghai Caohejing Hotel,911
Shanghai Marriott Hotel Hongqiao,980
Shanghai Marriott Hotel Pudong East,"1,164"
Aloft Shanghai Zhangjiang Haike,488
"Le Méridien Shanghai, Minhang","1,176"
Sheraton Shanghai Waigaoqiao Hotel,576
Delta Hotels Shanghai Baoshan,598
Shanghai Marriott Hotel Kangqiao,606
Courtyard Shanghai International Tourism and Resorts Zone,640
